               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.060667,           0.0049293,            0.019462,              0.5976,             0.39837,             0.43272,             0.14606,            0.025188,           0.0052626,           0.0066017,            0.007525,            0.007525,            0.007525
                 102,            0.062329,           0.0051849,            0.019848,             0.60568,             0.40171,             0.41695,             0.15364,            0.026294,           0.0055072,           0.0069769,           0.0075003,           0.0075003,           0.0075003
                 103,            0.062062,           0.0048807,            0.020093,             0.60544,             0.48247,             0.46994,             0.16685,            0.025806,           0.0052757,           0.0063992,           0.0074755,           0.0074755,           0.0074755
                 104,            0.062646,           0.0048065,            0.021539,             0.53193,             0.45835,             0.44675,             0.16166,            0.026335,           0.0051646,           0.0069255,           0.0074507,           0.0074507,           0.0074507
                 105,            0.062995,           0.0050325,            0.021171,             0.65825,             0.43836,              0.5001,             0.17376,            0.025995,           0.0051136,           0.0063988,            0.007426,            0.007426,            0.007426
                 106,            0.060791,           0.0049534,            0.018669,             0.65003,             0.49221,             0.51936,             0.19186,             0.02494,           0.0051172,           0.0059991,           0.0074013,           0.0074013,           0.0074013
                 107,            0.062277,           0.0047417,            0.018181,             0.56094,             0.46608,             0.49045,              0.1815,            0.026187,           0.0050067,           0.0056133,           0.0073765,           0.0073765,           0.0073765
                 108,            0.061833,           0.0050415,             0.01925,             0.58396,             0.50422,             0.49734,             0.18802,            0.024696,           0.0050094,           0.0055432,           0.0073517,           0.0073517,           0.0073517
                 109,            0.061334,           0.0049497,            0.016857,             0.64898,             0.46156,             0.49452,             0.18363,              0.0249,           0.0051235,           0.0062582,            0.007327,            0.007327,            0.007327
                 110,            0.059815,           0.0047875,            0.016948,             0.61881,             0.51847,             0.51233,             0.19162,            0.024677,           0.0049137,           0.0055119,           0.0073023,           0.0073023,           0.0073023
                 111,            0.060655,           0.0049056,            0.017188,             0.61436,             0.59625,             0.58871,             0.21471,             0.02385,           0.0050377,           0.0049607,           0.0072775,           0.0072775,           0.0072775
                 112,            0.061559,           0.0047585,             0.01602,             0.69659,             0.41714,             0.51612,             0.18661,            0.024889,           0.0049745,           0.0051318,           0.0072527,           0.0072527,           0.0072527
                 113,            0.059404,           0.0048542,            0.016318,             0.51265,             0.55997,             0.55529,             0.20214,            0.023912,           0.0049023,           0.0049272,            0.007228,            0.007228,            0.007228
                 114,            0.060307,           0.0045678,            0.015944,             0.64935,             0.52976,             0.55187,              0.2088,             0.02435,           0.0049033,           0.0047177,           0.0072033,           0.0072033,           0.0072033
                 115,            0.060369,           0.0045449,            0.016698,             0.47968,             0.54968,             0.50087,             0.19152,            0.024809,           0.0051042,            0.005294,           0.0071785,           0.0071785,           0.0071785
                 116,            0.059296,           0.0048504,            0.016934,             0.57761,              0.5385,              0.5258,             0.19903,            0.024845,           0.0050852,           0.0051068,           0.0071538,           0.0071538,           0.0071538
