               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.071181,            0.031942,             0.10441,            0.017795,             0.18125,            0.014461,           0.0030849,            0.070777,            0.040527,             0.10508,            0.005248,            0.005248,            0.005248
                  50,            0.070891,            0.034164,             0.10427,            0.032978,             0.18264,             0.02285,           0.0028532,            0.067005,            0.041123,             0.10493,            0.005149,            0.005149,            0.005149
                  51,            0.070965,            0.033997,             0.10417,           0.0016349,              0.1875,           0.0077241,           0.0030205,             0.07419,            0.035049,             0.10497,             0.00505,             0.00505,             0.00505
                  52,            0.070964,            0.034596,             0.10401,           0.0083911,             0.17951,            0.036233,           0.0089779,            0.062686,            0.034146,             0.10476,            0.004951,            0.004951,            0.004951
                  53,             0.07122,            0.033044,             0.10419,           0.0075483,             0.13889,            0.017457,           0.0039326,            0.060716,            0.034106,             0.10476,            0.004852,            0.004852,            0.004852
                  54,             0.07045,            0.034031,             0.10351,            0.017368,               0.175,            0.019405,            0.004459,              0.0715,            0.040435,             0.10544,            0.004753,            0.004753,            0.004753
                  55,             0.07052,            0.033559,             0.10425,            0.014101,             0.12986,            0.019202,           0.0042445,            0.061036,            0.033901,             0.10493,            0.004654,            0.004654,            0.004654
                  56,            0.069954,            0.033011,             0.10378,            0.032496,             0.15625,             0.03631,           0.0097393,            0.076736,            0.038491,             0.10546,            0.004555,            0.004555,            0.004555
                  57,            0.070546,            0.031747,             0.10349,            0.014247,             0.23021,            0.019392,           0.0051191,            0.063864,            0.032544,             0.10501,            0.004456,            0.004456,            0.004456
                  58,            0.071155,            0.032776,             0.10415,           0.0025126,             0.20625,            0.010944,           0.0035956,            0.070888,            0.031797,              0.1051,            0.004357,            0.004357,            0.004357
                  59,            0.070116,            0.033971,             0.10387,           0.0061336,             0.18889,            0.018279,           0.0050754,            0.060709,            0.035015,             0.10478,            0.004258,            0.004258,            0.004258
                  60,            0.069663,            0.033433,              0.1041,          0.00051164,            0.096875,           0.0016314,          0.00050185,            0.088685,            0.051396,             0.10545,            0.004159,            0.004159,            0.004159
                  61,            0.069432,            0.034241,             0.10365,            0.022322,             0.18125,            0.021555,           0.0047367,            0.075949,            0.038105,             0.10526,             0.00406,             0.00406,             0.00406
                  62,            0.069236,            0.034825,             0.10358,            0.013445,              0.1125,            0.020017,           0.0052282,            0.060236,            0.034912,             0.10499,            0.003961,            0.003961,            0.003961
                  63,            0.068288,            0.034746,             0.10363,            0.064058,              0.1875,            0.038097,            0.007951,            0.067434,            0.046064,             0.10586,            0.003862,            0.003862,            0.003862
                  64,            0.068536,            0.034226,             0.10354,            0.034455,              0.2125,            0.032194,           0.0070338,            0.066561,             0.03813,              0.1052,            0.003763,            0.003763,            0.003763
                  65,            0.069709,            0.033253,             0.10394,           0.0014589,              0.1875,            0.020397,           0.0049117,            0.075213,            0.041274,             0.10588,            0.003664,            0.003664,            0.003664
                  66,            0.069641,             0.03416,             0.10338,           0.0065944,             0.25312,            0.018376,           0.0041793,              0.0622,            0.034365,             0.10542,            0.003565,            0.003565,            0.003565
                  67,            0.069159,            0.033849,              0.1035,            0.028784,             0.20521,            0.033565,            0.010203,            0.063356,            0.035039,             0.10569,            0.003466,            0.003466,            0.003466
                  68,            0.068411,            0.033654,             0.10387,           0.0088423,             0.24028,            0.026133,           0.0077661,            0.064103,            0.032271,             0.10519,            0.003367,            0.003367,            0.003367
                  69,            0.068831,            0.032182,             0.10337,           0.0069297,             0.21701,           0.0096261,           0.0026158,            0.060035,            0.033784,             0.10528,            0.003268,            0.003268,            0.003268
                  70,             0.06891,            0.032816,             0.10391,            0.014361,             0.22743,            0.019861,           0.0048266,            0.063883,            0.034458,             0.10564,            0.003169,            0.003169,            0.003169
                  71,            0.068933,            0.032408,             0.10335,            0.019018,             0.23021,             0.03003,           0.0092975,            0.066551,            0.032725,             0.10567,             0.00307,             0.00307,             0.00307
                  72,            0.067697,            0.033902,             0.10347,           0.0028782,             0.19062,           0.0084165,           0.0016239,            0.073778,            0.040156,             0.10613,            0.002971,            0.002971,            0.002971
                  73,            0.069371,             0.03288,             0.10361,           0.0091076,             0.23299,            0.014618,           0.0048717,            0.059832,            0.034214,             0.10542,            0.002872,            0.002872,            0.002872
                  74,            0.068623,            0.033611,             0.10364,           0.0087427,             0.22257,            0.014089,            0.004578,            0.062574,            0.032336,             0.10581,            0.002773,            0.002773,            0.002773
                  75,            0.068538,            0.033605,             0.10319,           0.0062835,             0.20521,            0.026275,            0.006832,            0.070615,            0.031807,             0.10597,            0.002674,            0.002674,            0.002674
                  76,            0.067416,            0.034163,              0.1034,           0.0091334,             0.23021,            0.023378,           0.0078133,            0.063158,            0.032593,             0.10605,            0.002575,            0.002575,            0.002575
                  77,            0.068334,            0.032149,             0.10337,             0.01815,             0.19688,            0.021571,           0.0082238,            0.064211,            0.037036,             0.10653,            0.002476,            0.002476,            0.002476
                  78,            0.067427,            0.033122,             0.10367,            0.011761,             0.18021,            0.016261,           0.0037374,            0.060264,            0.033257,              0.1057,            0.002377,            0.002377,            0.002377
                  79,            0.067383,            0.033655,             0.10325,            0.004492,             0.22743,           0.0089209,           0.0024548,            0.061001,             0.03333,             0.10592,            0.002278,            0.002278,            0.002278
                  80,            0.068335,            0.033053,             0.10327,             0.01439,             0.18854,            0.017637,           0.0056669,            0.061719,            0.034023,             0.10614,            0.002179,            0.002179,            0.002179
                  81,             0.06719,            0.032858,             0.10299,            0.025302,             0.23021,            0.039226,            0.011019,             0.06558,            0.033184,             0.10628,             0.00208,             0.00208,             0.00208
                  82,            0.067571,            0.034019,             0.10301,            0.012072,             0.22535,            0.023172,           0.0074984,            0.061727,            0.032563,             0.10613,            0.001981,            0.001981,            0.001981
                  83,            0.066131,            0.034282,               0.103,           0.0070876,             0.19896,            0.010229,           0.0030802,            0.060384,            0.033311,             0.10638,            0.001882,            0.001882,            0.001882
                  84,            0.067207,            0.033744,             0.10316,            0.010482,             0.14931,             0.01243,           0.0051467,            0.060529,            0.033105,             0.10604,            0.001783,            0.001783,            0.001783
                  85,            0.067285,            0.034203,             0.10301,            0.018916,             0.23229,            0.028116,           0.0091905,            0.060792,            0.033083,             0.10645,            0.001684,            0.001684,            0.001684
